snapnum,qc_method,frz,pol,del_scf,bsse_scf,ct_scf,tot_scf,ho_scf
33,\(\omega\)B97M-V/cc-pVTZ,-7.126429254,-1.735497132,-3.365568834,2.251221319,-1.114345124,-9.976271511,-0.241763862
69,\(\omega\)B97M-V/cc-pVTZ,-3.437877629,-3.136147228,-3.788981836,2.405967973,-1.383013862,-7.957038719,-0.319545889
111,\(\omega\)B97M-V/cc-pVTZ,-6.103059273,-1.784820746,-3.239493308,2.119966539,-1.119526769,-9.007406788,-0.268427342
184,\(\omega\)B97M-V/cc-pVTZ,-8.002461759,-2.055614245,-3.705597514,2.83456979,-0.871027725,-10.92910373,-0.197629063
254,\(\omega\)B97M-V/cc-pVTZ,-7.812547801,-0.968288719,-2.923448853,2.120033461,-0.803415392,-9.584251912,-0.165585564
270,\(\omega\)B97M-V/cc-pVTZ,-4.573809751,-3.168812141,-3.288874283,2.276768642,-1.012108031,-8.754729924,-0.224055927
288,\(\omega\)B97M-V/cc-pVTZ,-1.100642925,-0.995138623,-2.294787285,2.165442161,-0.129347514,-2.225129063,-0.00748088
391,\(\omega\)B97M-V/cc-pVTZ,-3.776988528,-1.439127629,-3.815458891,2.840501912,-0.974956979,-6.191073136,-0.216517686
414,\(\omega\)B97M-V/cc-pVTZ,-4.374388145,-1.297323136,-3.21540392,2.509218451,-0.706185468,-6.37789675,-0.152686424
422,\(\omega\)B97M-V/cc-pVTZ,-5.695865201,-1.862339866,-3.290255736,2.153181166,-1.13707457,-8.695279637,-0.260733748
443,\(\omega\)B97M-V/cc-pVTZ,-6.956837954,-1.855473231,-3.512124761,2.435607075,-1.076520076,-9.888831262,-0.253171606
535,\(\omega\)B97M-V/cc-pVTZ,-7.000169694,-2.248200287,-3.262409178,2.24832696,-1.014082218,-10.2624522,-0.247715105
564,\(\omega\)B97M-V/cc-pVTZ,-7.372545411,-2.066405354,-3.000069312,2.405066922,-0.59500239,-10.03395315,-0.133685468
934,\(\omega\)B97M-V/cc-pVTZ,-5.27874283,-0.985554493,-3.227779637,1.91833652,-1.309443117,-7.57373805,-0.311589388
